index,result,time,clearMessage,weapon,aspect,keepsake,companion,trait (sub-traits),heatPoints,heat (sub-heat),trait 1 name,trait 1 level,trait 2 name,trait 2 level,trait 3 name,trait 3 level,trait 4 name,trait 4 level,trait 5 name,trait 5 level,trait 6 name,trait 6 level,trait 7 name,trait 7 level,trait 8 name,trait 8 level,trait 9 name,trait 9 level,trait 10 name,trait 10 level,trait 11 name,trait 11 level,trait 12 name,trait 12 level,trait 13 name,trait 13 level,trait 14 name,trait 14 level,trait 15 name,trait 15 level,trait 16 name,trait 16 level,trait 17 name,trait 17 level,trait 18 name,trait 18 level,trait 19 name,trait 19 level,trait 20 name,trait 20 level,trait 21 name,trait 21 level,trait 22 name,trait 22 level,trait 23 name,trait 23 level,trait 24 name,trait 24 level,trait 25 name,trait 25 level,trait 26 name,trait 26 level,trait 27 name,trait 27 level,trait 28 name,trait 28 level,trait 29 name,trait 29 level,trait 30 name,trait 30 level,trait 31 name,trait 31 level
11,RunHistoryScreenResult_Elysium,24:54.19,,SpearWeapon,,MaxHealthKeepsakeTrait,,"ZeusLightningDebuff (Level 1), SpeedDamageTrait (Level 1), ZeusWeaponTrait (Level 1), SpearReachAttack (Level 1), SpearThrowElectiveCharge (Level 1), MoveSpeedTrait (Level 1), EnemyDamageTrait (Level 1), ArtemisRangedTrait (Level 1), PerfectDashBoltTrait (Level 1), RoomRewardMaxHealthTrait (Level 3), MaxHealthKeepsakeTrait (Level 1), PoseidonSecondaryTrait (Level 1), PoseidonRushTrait (Level 2)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DoorHealMetaUpgrade_ShortTotalNoIcon (Level 3), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 1), StaminaMetaUpgrade_On (Level 1), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 30), AmmoMetaUpgrade_ShortTotalNoIcon (Level 2)",ZeusLightningDebuff,Level 1,SpeedDamageTrait,Level 1,ZeusWeaponTrait,Level 1,SpearReachAttack,Level 1,SpearThrowElectiveCharge,Level 1,MoveSpeedTrait,Level 1,EnemyDamageTrait,Level 1,ArtemisRangedTrait,Level 1,PerfectDashBoltTrait,Level 1,RoomRewardMaxHealthTrait,Level 3,MaxHealthKeepsakeTrait,Level 1,PoseidonSecondaryTrait,Level 1,PoseidonRushTrait,Level 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,RunHistoryScreenResult_A_Boss01,09:15.34,,ShieldWeapon,,VanillaTrait,,"AthenaSecondaryTrait (Level 1), RoomRewardMaxHealthTrait (Level 1), VanillaTrait (Level 1), AphroditeWeaponTrait (Level 1), ZeusRushTrait (Level 1), AresRangedTrait (Level 1), ShieldThrowElectiveCharge (Level 1), UnusedWeaponBonusTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 30), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 30), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 1), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 40), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3)",AthenaSecondaryTrait,Level 1,RoomRewardMaxHealthTrait,Level 1,VanillaTrait,Level 1,AphroditeWeaponTrait,Level 1,ZeusRushTrait,Level 1,AresRangedTrait,Level 1,ShieldThrowElectiveCharge,Level 1,UnusedWeaponBonusTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RunHistoryScreenResult_A_Boss01,06:42.74,,SpearWeapon,,VanillaTrait,,"ChaosBlessingSecondaryTrait (Level 1), RoomRewardMaxHealthTrait (Level 2), VanillaTrait (Level 1), UnusedWeaponBonusTrait (Level 1), ZeusWeaponTrait (Level 1), CritBonusTrait (Level 1), SpearReachAttack (Level 1), AresRushTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 30), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 30), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 1), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 40), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3)",ChaosBlessingSecondaryTrait,Level 1,RoomRewardMaxHealthTrait,Level 2,VanillaTrait,Level 1,UnusedWeaponBonusTrait,Level 1,ZeusWeaponTrait,Level 1,CritBonusTrait,Level 1,SpearReachAttack,Level 1,AresRushTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,RunHistoryScreenResult_A_Boss01,08:40.40,,ShieldWeapon,,ForceArtemisBoonTrait,,"ArtemisSecondaryTrait (Level 1), AthenaWeaponTrait (Level 1), ForceArtemisBoonTrait (Level 1), PerfectDashBoltTrait (Level 1), TemporaryArmorDamageTrait (Level 1), ShieldPerfectRushTrait (Level 1), OnEnemyDeathDamageInstanceBuffTrait (Level 1), UnusedWeaponBonusTrait (Level 1), TemporaryForcedSecretDoorTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 40), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 30), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 1), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 40), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3)",ArtemisSecondaryTrait,Level 1,AthenaWeaponTrait,Level 1,ForceArtemisBoonTrait,Level 1,PerfectDashBoltTrait,Level 1,TemporaryArmorDamageTrait,Level 1,ShieldPerfectRushTrait,Level 1,OnEnemyDeathDamageInstanceBuffTrait,Level 1,UnusedWeaponBonusTrait,Level 1,TemporaryForcedSecretDoorTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,RunHistoryScreenResult_Asphodel,11:20.97,,FistWeapon,,MaxHealthKeepsakeTrait,,"DoorHealTrait (Level 1), DionysusSlowTrait (Level 1), PoseidonPickedUpMinorLootTrait (Level 1), MaxHealthKeepsakeTrait (Level 1), ChaosCurseDamageTrait (Level 1), PoseidonRushTrait (Level 1), UnusedWeaponBonusTrait (Level 1), RoomRewardMaxHealthTrait (Level 1), DionysusWeaponTrait (Level 2), ChaosBlessingMetapointTrait (Level 1), FountainDamageBonusTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 30), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 1), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3)",DoorHealTrait,Level 1,DionysusSlowTrait,Level 1,PoseidonPickedUpMinorLootTrait,Level 1,MaxHealthKeepsakeTrait,Level 1,ChaosCurseDamageTrait,Level 1,PoseidonRushTrait,Level 1,UnusedWeaponBonusTrait,Level 1,RoomRewardMaxHealthTrait,Level 1,DionysusWeaponTrait,Level 2,ChaosBlessingMetapointTrait,Level 1,FountainDamageBonusTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,RunHistoryScreenResult_Elysium,18:26.27,,SpearWeapon,,ForceArtemisBoonTrait,,"ArtemisWeaponTrait (Level 1), SpearThrowPenetrate (Level 1), CriticalBufferMultiplierTrait (Level 1), ForceArtemisBoonTrait (Level 1), MaxHealthKeepsakeTrait (Level 1), AresRangedTrait (Level 1), RoomRewardMaxHealthTrait (Level 4), PoseidonRushTrait (Level 1), SpearReachAttack (Level 1), IncreasedDamageTrait (Level 2), UnusedWeaponBonusTrait (Level 1), AphroditeDeathTrait (Level 3), CritVulnerabilityTrait (Level 1), ChaosBlessingMetapointTrait (Level 1), BonusDashTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 1), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3)",ArtemisWeaponTrait,Level 1,SpearThrowPenetrate,Level 1,CriticalBufferMultiplierTrait,Level 1,ForceArtemisBoonTrait,Level 1,MaxHealthKeepsakeTrait,Level 1,AresRangedTrait,Level 1,RoomRewardMaxHealthTrait,Level 4,PoseidonRushTrait,Level 1,SpearReachAttack,Level 1,IncreasedDamageTrait,Level 2,UnusedWeaponBonusTrait,Level 1,AphroditeDeathTrait,Level 3,CritVulnerabilityTrait,Level 1,ChaosBlessingMetapointTrait,Level 1,BonusDashTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,RunHistoryScreenResult_Asphodel,08:14.76,,ShieldWeapon,,BackstabAlphaStrikeTrait,,"AthenaWeaponTrait (Level 3), ArtemisRushTrait (Level 1), BackstabAlphaStrikeTrait (Level 1), UnusedWeaponBonusTrait (Level 1), ForceArtemisBoonTrait (Level 1), ShieldBashDamageTrait (Level 1), ChaosBlessingMetapointTrait (Level 1), PoseidonPickedUpMinorLootTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 1), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3)",AthenaWeaponTrait,Level 3,ArtemisRushTrait,Level 1,BackstabAlphaStrikeTrait,Level 1,UnusedWeaponBonusTrait,Level 1,ForceArtemisBoonTrait,Level 1,ShieldBashDamageTrait,Level 1,ChaosBlessingMetapointTrait,Level 1,PoseidonPickedUpMinorLootTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,RunHistoryScreenResult_B_Boss01,20:59.61,,GunWeapon,,BackstabAlphaStrikeTrait,,"DionysusSecondaryTrait (Level 1), BackstabAlphaStrikeTrait (Level 1), RoomRewardMaxHealthTrait (Level 2), GunChainShotTrait (Level 1), UnusedWeaponBonusTrait (Level 1), AphroditeDeathTrait (Level 2), AresRangedTrait (Level 1), DionysusWeaponTrait (Level 1), BonusDashTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3)",DionysusSecondaryTrait,Level 1,BackstabAlphaStrikeTrait,Level 1,RoomRewardMaxHealthTrait,Level 2,GunChainShotTrait,Level 1,UnusedWeaponBonusTrait,Level 1,AphroditeDeathTrait,Level 2,AresRangedTrait,Level 1,DionysusWeaponTrait,Level 1,BonusDashTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,RunHistoryScreenResult_C_MiniBoss02,21:59.92,,SwordWeapon,,LowHealthDamageTrait,,"LowHealthDamageTrait (Level 1), AthenaRushTrait (Level 1), SwordHeavySecondStrikeTrait (Level 1), RoomRewardMaxHealthTrait (Level 3), AthenaBackstabDebuffTrait (Level 1), TemporaryBackstabTrait (Level 1), AthenaWeaponTrait (Level 2), AresSecondaryTrait (Level 1), SwordCursedLifeStealTrait (Level 1), MaxHealthKeepsakeTrait (Level 1), EnemyDamageTrait (Level 1), AthenaRetaliateTrait (Level 1), TemporaryImprovedRangedTrait (Level 1), BonusMoneyTrait (Level 1), HermesSecondaryTrait (Level 1), ArtemisRangedTrait (Level 1), TemporaryWeaponLifeOnKillTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3)",LowHealthDamageTrait,Level 1,AthenaRushTrait,Level 1,SwordHeavySecondStrikeTrait,Level 1,RoomRewardMaxHealthTrait,Level 3,AthenaBackstabDebuffTrait,Level 1,TemporaryBackstabTrait,Level 1,AthenaWeaponTrait,Level 2,AresSecondaryTrait,Level 1,SwordCursedLifeStealTrait,Level 1,MaxHealthKeepsakeTrait,Level 1,EnemyDamageTrait,Level 1,AthenaRetaliateTrait,Level 1,TemporaryImprovedRangedTrait,Level 1,BonusMoneyTrait,Level 1,HermesSecondaryTrait,Level 1,ArtemisRangedTrait,Level 1,TemporaryWeaponLifeOnKillTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,RunHistoryScreenResult_Elysium,20:07.82,,SpearWeapon,SpearWeaveTrait,DirectionalArmorTrait,,"HermesWeaponTrait (Level 1), OnEnemyDeathDamageInstanceBuffTrait (Level 2), SpearReachAttack (Level 1), AphroditeRushTrait (Level 2), ZeusRangedTrait (Level 1), AresRetaliateTrait (Level 1), IncreasedDamageTrait (Level 1), DirectionalArmorTrait (Level 1), SpearWeaveTrait (Level 1), UnusedWeaponBonusTrait (Level 1), AphroditeDeathTrait (Level 1), SpearAttackPhalanxTrait (Level 1), DionysusWeaponTrait (Level 3), RoomRewardMaxHealthTrait (Level 4)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3)",HermesWeaponTrait,Level 1,OnEnemyDeathDamageInstanceBuffTrait,Level 2,SpearReachAttack,Level 1,AphroditeRushTrait,Level 2,ZeusRangedTrait,Level 1,AresRetaliateTrait,Level 1,IncreasedDamageTrait,Level 1,DirectionalArmorTrait,Level 1,SpearWeaveTrait,Level 1,UnusedWeaponBonusTrait,Level 1,AphroditeDeathTrait,Level 1,SpearAttackPhalanxTrait,Level 1,DionysusWeaponTrait,Level 3,RoomRewardMaxHealthTrait,Level 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,RunHistoryScreenResult_Asphodel,14:55.26,,SwordWeapon,SwordBaseUpgradeTrait,DirectionalArmorTrait,,"DirectionalArmorTrait (Level 1), RoomRewardMaxHealthTrait (Level 3), SwordBaseUpgradeTrait (Level 1), AphroditeWeaponTrait (Level 2), RetaliateWeaponTrait (Level 2), AresRangedTrait (Level 1), ChaosBlessingMetapointTrait (Level 1), AresRushTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), HealthMetaUpgrade_ShortTotalNoIcon (Level 30)",DirectionalArmorTrait,Level 1,RoomRewardMaxHealthTrait,Level 3,SwordBaseUpgradeTrait,Level 1,AphroditeWeaponTrait,Level 2,RetaliateWeaponTrait,Level 2,AresRangedTrait,Level 1,ChaosBlessingMetapointTrait,Level 1,AresRushTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,RunHistoryScreenResult_Styx,42:13.94,,SwordWeapon,SwordBaseUpgradeTrait,MaxHealthKeepsakeTrait,,"TemporaryMoveSpeedTrait (Level 1), SwordBaseUpgradeTrait (Level 1), PoseidonRangedTrait (Level 1), TemporaryAlphaStrikeTrait (Level 1), CritBonusTrait (Level 1), TemporaryImprovedRangedTrait (Level 1), ChaosBlessingMetapointTrait (Level 1), ArtemisSupportingFireTrait (Level 1), RushSpeedBoostTrait (Level 1), TemporaryBoonRarityTrait (Level 1), AphroditeRetaliateTrait (Level 1), SwordCursedLifeStealTrait (Level 1), RoomRewardMaxHealthTrait (Level 4), DirectionalArmorTrait (Level 1), PoseidonRushTrait (Level 2), MaxHealthKeepsakeTrait (Level 1), AthenaWeaponTrait (Level 2), AphroditeDeathTrait (Level 1), AphroditeSecondaryTrait (Level 2), HermesSecondaryTrait (Level 1), BossDamageTrait (Level 1), SwordCriticalTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), HealthMetaUpgrade_ShortTotalNoIcon (Level 40)",TemporaryMoveSpeedTrait,Level 1,SwordBaseUpgradeTrait,Level 1,PoseidonRangedTrait,Level 1,TemporaryAlphaStrikeTrait,Level 1,CritBonusTrait,Level 1,TemporaryImprovedRangedTrait,Level 1,ChaosBlessingMetapointTrait,Level 1,ArtemisSupportingFireTrait,Level 1,RushSpeedBoostTrait,Level 1,TemporaryBoonRarityTrait,Level 1,AphroditeRetaliateTrait,Level 1,SwordCursedLifeStealTrait,Level 1,RoomRewardMaxHealthTrait,Level 4,DirectionalArmorTrait,Level 1,PoseidonRushTrait,Level 2,MaxHealthKeepsakeTrait,Level 1,AthenaWeaponTrait,Level 2,AphroditeDeathTrait,Level 1,AphroditeSecondaryTrait,Level 2,HermesSecondaryTrait,Level 1,BossDamageTrait,Level 1,SwordCriticalTrait,Level 1,,,,,,,,,,,,,,,,,,
